epiweeks	rsvpos	rsvtest	rsv_positivity
201748	1784	16435	0.10854882871919684
201749	2267	18540	0.12227615965480043
201750	2379	19238	0.12366150327476869
201751	3159	25200	0.12535714285714286
201752	3670	29513	0.1243519804831769
201801	3816	33444	0.11410118406889128
201802	3803	35658	0.1066520836838858
201803	3831	34747	0.1102541226580712
201804	4188	37491	0.11170680963431223
201805	4122	38155	0.10803302319486306
201806	3881	38380	0.10112037519541428
201807	3592	35699	0.1006190649598028
201808	2914	31251	0.0932450161594829
201809	2471	26988	0.09155921150140803
201810	1924	23441	0.0820784096241628
201811	1637	21327	0.07675716228255264
201812	1293	19269	0.0671026000311381
201813	1068	17942	0.05952513655110913
201814	881	16911	0.052096268700845605
201815	667	15450	0.04317152103559871
201816	474	13536	0.0350177304964539
201817	380	12720	0.029874213836477988
201818	279	11164	0.024991042637047652
201819	188	9709	0.019363477186115974
201820	160	8595	0.01861547411285631
201821	89	8056	0.011047666335650446
201822	84	7365	0.011405295315682282
201823	93	7079	0.013137448792202288
201824	66	6631	0.009953249886894888
201825	55	6265	0.008778930566640064
201826	45	5802	0.0077559462254395035
201827	60	5247	0.011435105774728416
201828	37	5430	0.006813996316758748
201829	47	5307	0.008856227623892972
201830	68	5275	0.012890995260663507
201831	44	4887	0.009003478616738286
201832	45	5320	0.008458646616541353
201833	50	5421	0.009223390518354546
201834	58	5751	0.010085202573465485
201835	74	6271	0.011800350821240632
201836	69	6735	0.010244988864142539
201837	105	8105	0.012954966070326958
201838	124	8888	0.01395139513951395
201839	166	10217	0.016247430752667123
201840	204	11351	0.01797198484715003
201841	382	12038	0.0317328459877056
201842	452	12926	0.03496828098406313
201843	658	14062	0.04679277485421704
201844	880	14537	0.0605351860769072
201845	1109	15331	0.07233709477529189
201846	1407	15921	0.08837384586395326
201847	1634	15836	0.10318262187421066
201848	2033	17854	0.11386804077517643
201849	2313	17780	0.13008998875140607
201850	2709	20374	0.132963581034652
201851	3477	22889	0.15190702957752633
201852	3680	24408	0.15077023926581448
201901	3922	26370	0.14872961698900267
201902	3467	25479	0.1360728443031516
201903	3266	24680	0.13233387358184764
201904	3261	27516	0.118512865242041
201905	3252	27766	0.11712165958366347
201906	3197	30162	0.10599429746038061
201907	2758	27421	0.10057984756208745
201908	2612	28187	0.09266683222762266
201909	2248	28342	0.0793169148260532
201910	1978	28567	0.0692407323135086
201911	1837	29271	0.06275836151822622
201912	1529	27846	0.05490914314443726
201913	1259	25207	0.0499464434482485
201914	843	21510	0.039191073919107394
201915	648	19141	0.0338540306149104
201916	549	17641	0.031120684768437164
201917	437	16222	0.026938725188016273
201918	297	14437	0.02057214102652906
201919	217	12774	0.01698763112572413
201920	170	12219	0.013912758818233898
201921	166	11184	0.014842632331902719
201922	138	10480	0.01316793893129771
201923	76	8622	0.008814660171653908
201924	66	7846	0.008411929645679326
201925	77	7378	0.010436432637571158
201926	71	7005	0.010135617416131336
201927	91	7049	0.012909632571996028
201928	101	7321	0.013795929517825434
201929	85	6791	0.012516566043292593
201930	59	6361	0.009275271183776137
201931	88	6443	0.01365823374204563
201932	76	6598	0.011518642012731131
201933	94	6741	0.013944518617415814
201934	105	6782	0.015482158655263934
201935	112	7768	0.014418125643666324
201936	126	8693	0.014494420798343495
201937	159	10169	0.01563575572819353
201938	187	10761	0.017377567140600316
201939	228	11810	0.01930567315834039
201940	406	13859	0.029295042932390505
201941	392	15134	0.025901942645698426
201942	534	16363	0.03263460245676221
201943	837	16123	0.05191341561744092
201944	1043	17240	0.06049883990719258
201945	1514	19202	0.07884595354650557
201946	2058	20036	0.10271511279696546
201947	2635	22391	0.11768121120092895
201948	3321	21807	0.1522905489063145
201949	3977	25823	0.15400999109321148
201950	4110	27091	0.15171090029899229
201951	4886	31128	0.15696479054227705
201952	5403	34433	0.15691342607382452
202001	5632	36718	0.15338526063511085
202002	4531	34938	0.12968687389089245
202003	4159	34661	0.11999076772164681
202004	3925	36708	0.10692492099814754
202005	3574	38777	0.09216803775433892
202006	3271	39197	0.08345026405082022
202007	2902	38187	0.07599444837248279
202008	2450	35753	0.06852571812155624
202009	2115	35957	0.058820257529827294
202010	1993	38007	0.05243770884310785
202011	1926	46884	0.041080112618377275
202012	1694	52483	0.03227711830497494
202013	841	34387	0.024456916858114984
202014	312	22287	0.013999192354287253
202015	132	14486	0.009112246306778959
202016	72	11405	0.006313020604997808
202017	49	9959	0.004920172708103223
202018	37	8444	0.00438180956892468
202019	18	7183	0.002505916747876932
202020	13	6836	0.0019016968987712111
202021	12	6387	0.0018788163457022077
202022	13	5418	0.002399409376153562
