surveillance_network	age_group	site	n_rows	time_min	time_max	variable	n_missing	frac_missing
RSV-NET	Overall	Utah	347	2018-10-06	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	Utah	347	2018-10-06	2026-03-14	rsvpos	285	0.8213256484149856
RSV-NET	Overall	Utah	347	2018-10-06	2026-03-14	rsvtest	285	0.8213256484149856
RSV-NET	Overall	Utah	347	2018-10-06	2026-03-14	rsv_positivity	285	0.8213256484149856
RSV-NET	Overall	Utah	347	2018-10-06	2026-03-14	wili	0	0.0
RSV-NET	Overall	Utah	347	2018-10-06	2026-03-14	flu_positivity	166	0.4783861671469741
RSV-NET	Overall	Washington	24	2025-10-04	2026-03-14	rate_per_100k	0	0.0
RSV-NET	Overall	Washington	24	2025-10-04	2026-03-14	rsvpos	24	1.0
RSV-NET	Overall	Washington	24	2025-10-04	2026-03-14	rsvtest	24	1.0
RSV-NET	Overall	Washington	24	2025-10-04	2026-03-14	rsv_positivity	24	1.0
RSV-NET	Overall	Washington	24	2025-10-04	2026-03-14	wili	0	0.0
RSV-NET	Overall	Washington	24	2025-10-04	2026-03-14	flu_positivity	0	0.0
